Date,Email,Name,Position,Seniority,Location,Studio,Client,Client Tag,Project,Project Tag,Team Name,Engagement,Year,Month,Day,DateDT,ID
02Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.4,2023,1,2,2023-01-02,8
03Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.45,2023,1,3,2023-01-03,8
04Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.96,2023,1,4,2023-01-04,8
05Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.26,2023,1,5,2023-01-05,8
06Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.56,2023,1,6,2023-01-06,8
09Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.74,2023,1,9,2023-01-09,8
10Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.65,2023,1,10,2023-01-10,8
11Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.32,2023,1,11,2023-01-11,8
12Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.99,2023,1,12,2023-01-12,8
13Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.61,2023,1,13,2023-01-13,8
16Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.6,2023,1,16,2023-01-16,8
17Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.4,2023,1,17,2023-01-17,8
18Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.55,2023,1,18,2023-01-18,8
19Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.73,2023,1,19,2023-01-19,8
20Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.0,2023,1,20,2023-01-20,8
23Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.35,2023,1,23,2023-01-23,8
24Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.55,2023,1,24,2023-01-24,8
25Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.59,2023,1,25,2023-01-25,8
26Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.57,2023,1,26,2023-01-26,8
27Jan23,laura.leon@tec.globant.com,Laura León,Project Manager,Sr Level 1,AR/CABA/BA,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.14,2023,1,27,2023-01-27,8
01Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.62,2023,2,1,2023-02-01,9
02Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.62,2023,2,2,2023-02-02,9
03Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.62,2023,2,3,2023-02-03,9
07Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.62,2023,2,7,2023-02-07,9
08Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.12,2023,2,8,2023-02-08,9
09Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.12,2023,2,9,2023-02-09,9
10Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.12,2023,2,10,2023-02-10,9
13Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.12,2023,2,13,2023-02-13,9
14Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,3.12,2023,2,14,2023-02-14,9
15Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.62,2023,2,15,2023-02-15,9
16Feb23,valeria.diaz@tec.globant.com,Valeria Díaz,Project Manager,Ssr,CO/CUN/BOG,Delivery,GreenWave Innovations,GWI001,Atlas Initiative,ATLINT,Breaking Badger,2.62,2023,2,16,2023-02-16,9
